price_final,model_type,model_variant_final,ext_color_final,mileage_final,age,originality_final,model_type_standardized
88995.0,5-Speed,110 Hard Top,Blue,96934.0,31,Restored-Modified,standard
57999.0,300TDI 5-Speed,110 Wagon,Blue,173363.0,27,Restored-Original,300tdi
112000.0,5-Speed,90 Soft Top,Black,103000.0,29,Restored-Original,standard
43995.0,standard,90 Hard Top,White,152000.0,30,Restored-Original,standard
39999.0,3-Door Hard Top 300 TDI,90 Hard Top,Green,146786.0,28,Restored-Original,td
44999.0,3-Door Hard Top,90 Hard Top,Blue,182524.0,28,Restored-Modified,standard
35999.0,2-Door 200 TDI,110 Hard Top,White,93337.0,32,Restored-Original,td
44999.0,3-Door Hard Top 300 TDI,90 Hard Top,Green,75493.0,26,Restored-Original,td
88999.0,Station Wagon,90 Wagon,Blue,109370.0,28,Original & Highly Original,standard
67900.0,standard,110 Wagon,Blue,101797.0,27,Original & Highly Original,standard
79000.0,standard,110 Wagon,Gray,83000.0,29,Restored-Modified,standard
57999.0,5-Door Hard Top 300 TDI,110 Wagon,Green,135254.0,27,Restored-Original,td
29999.0,2-Door 300 TDI,110 Hard Top,White,119302.0,26,Restored-Original,td
47999.0,3-Door Hard Top 300 TDI,90 Hard Top,Green,85929.0,26,Restored-Original,td
169950.0,Pickup LT1 V8,110 Pickup - Single Cab,Silver,6260.0,36,Restored-Modified,v8
62500.0,Land Rover Defender 110 V8 5-Speed,110 Soft Top,Green,186280.0,33,Restored-Modified,v8
44000.0,standard,110 Hard Top,Blue,119874.0,36,Restomod & Custom,standard
88995.0,standard,110 Hard Top,Gray,325945.0,27,Restored-Modified,standard
69000.0,standard,90 Soft Top,Gray,3000.0,28,Restored-Modified,standard
31995.0,standard,110 Hard Top,White,162657.0,32,Restored-Modified,standard
138000.0,standard,90 Hard Top,White,7770.0,35,Restored-Modified,standard
77500.0,standard,110 Wagon,Green,44000.0,26,Original & Highly Original,standard
47500.0,standard,90 Hard Top,White,139806.0,29,Restored-Original,standard
47000.0,standard,90 Wagon,White,172087.0,26,Modified,standard
89997.0,Land Rover Defender 90,90 Hard Top,Black,6036.0,33,Restored-Modified,standard
29500.0,standard,90 Hard Top,Green,204117.0,36,Original & Highly Original,standard
66000.0,standard,90 Hard Top,Blue,211.0,36,Unable to Determine,standard
45000.0,standard,110 Wagon,Red,168567.0,36,Restored-Modified,standard
35000.0,standard,110 Wagon,Blue,305491.0,31,Original & Highly Original,standard
59750.0,standard,90 Hard Top,White,132000.0,32,Restored-Modified,standard
149000.0,standard,130,Black,209000.0,29,Restored-Original,standard
41500.0,Land Rover Defender 90,90 Hard Top,Gray,138000.0,33,Original & Highly Original,standard
65000.0,standard,90 Soft Top,Blue,68444.0,26,Restored-Modified,standard
89800.0,Convertible,90 Soft Top,Red,63400.0,29,Original & Highly Original,standard
99800.0,Station Wagon,90 Wagon,Blue,58125.0,28,Original & Highly Original,standard
149900.0,200TDI 5-Speed,110 Wagon,White,2603.0,32,Restored-Modified,200tdi
198888.0,standard,110 Wagon,Gray,510.0,32,Restored-Modified,standard
60000.0,V8 5-Speed,110 Soft Top,Blue,433859.0,28,Restored-Modified,v8
60000.0,V8 5-Speed,110 Soft Top,Blue,433859.0,28,Restored-Modified,v8
