price_final,model_type,model_variant_final,ext_color_final,mileage_final,age,originality_final
49990.0,Land Rover Defender 90,90 Hard Top,Gray,0.0,33,Restored-Modified
91500.0,NAS 5-Speed,90 Soft Top,Green,63000.0,28,Original & Highly Original
88995.0,5-Speed,110 Hard Top,Blue,15600096934.0,31,Restored-Modified
57999.0,300TDI 5-Speed,110 Wagon,Blue,173362.509,27,Restored-Original
112000.0,5-Speed,90 Soft Top,Black,103000.0,29,Restored-Original
68000.0,standard,110 Wagon,Orange/Copper,0.0,36,Restored-Modified
43995.0,standard,90 Hard Top,White,152000.0,30,Restored-Original
39999.0,3-Door Hard Top 300 TDI,90 Hard Top,Green,146786.47133,28,Restored-Original
44999.0,3-Door Hard Top,90 Hard Top,Blue,182524.003024,28,Restored-Modified
35999.0,2-Door 200 TDI,110 Hard Top,White,93336.759281,32,Restored-Original
44999.0,3-Door Hard Top 300 TDI,90 Hard Top,Green,75492.848274,26,Restored-Original
88999.0,Station Wagon,90 Wagon,Blue,109370.0,28,Original & Highly Original
67900.0,standard,110 Wagon,Blue,101797.0,27,Original & Highly Original
79000.0,standard,110 Wagon,Gray,83000.0,29,Restored-Modified
57999.0,5-Door Hard Top 300 TDI,110 Wagon,Green,135254.446941,27,Restored-Original
29999.0,2-Door 300 TDI,110 Hard Top,White,119301.989258,26,Restored-Original
77999.0,3-Door Soft Top 300 TDI,90 Soft Top,Yellow,1.0,26,Restored-Modified
77999.0,3-Door Soft Top 200 TDI,90 Soft Top,Green,1.0,31,Restored-Modified
47999.0,3-Door Hard Top 300 TDI,90 Hard Top,Green,85928.774219,26,Restored-Original
169950.0,Pickup LT1 V8,110 Pickup - Single Cab,Silver,6260.0,36,Restored-Modified
62500.0,Land Rover Defender 110 V8 5-Speed,110 Soft Top,Green,186280.0,33,Restored-Modified
44000.0,standard,110 Hard Top,Blue,119874.0,36,Restomod & Custom
88995.0,standard,110 Hard Top,Gray,325945.0,27,Restored-Modified
69000.0,standard,90 Soft Top,Gray,3000.0,28,Restored-Modified
31995.0,standard,110 Hard Top,White,162657.0,32,Restored-Modified
138000.0,standard,90 Hard Top,White,7770.0,35,Restored-Modified
77500.0,standard,110 Wagon,Green,44000.0,26,Original & Highly Original
47500.0,standard,90 Hard Top,White,139805.989516,29,Restored-Original
47000.0,standard,90 Wagon,White,172087.455708,26,Modified
128800.0,#233/500,110 Wagon,White,24975.0,30,Original & Highly Original
89997.0,Land Rover Defender 90,90 Hard Top,Black,6036.0,33,Restored-Modified
29500.0,standard,90 Hard Top,Green,204116.645274,36,Original & Highly Original
119995.0,NAS,110 Wagon,White,69950.0,30,Original & Highly Original
66000.0,standard,90 Hard Top,Blue,211.0,36,Unable to Determine
45000.0,standard,110 Wagon,Red,168567.0,36,Restored-Modified
35000.0,standard,110 Wagon,Blue,305491.0,31,Original & Highly Original
79990.0,4X4,110 Wagon,Green,0.0,26,Restored-Modified
89900.0,3-Door Soft Top 300 TDI,90 Soft Top,White,90.098795,26,Restored-Modified
59750.0,standard,90 Hard Top,White,132000.0,32,Restored-Modified
149000.0,standard,130,Black,209000.0,29,Restored-Original
148995.0,Crew Cab LS3 4L80 Trans,110 Pickup - Double Cab,Gray,1297.0,36,Restomod & Custom
119950.0,standard,90 Hard Top,Red,3.0,28,Restored-Modified
269950.0,Pickup LS3 V8,110 Pickup - Single Cab,Gray,2334.0,36,Restomod & Custom
132950.0,Arkonik,110 Wagon,Gray,14256.0,32,Restored-Modified
41500.0,Land Rover Defender 90,90 Hard Top,Gray,138000.0,33,Original & Highly Original
65000.0,standard,90 Soft Top,Blue,68444.01565,26,Restored-Modified
89800.0,Convertible,90 Soft Top,Red,63400.0,29,Original & Highly Original
99800.0,Station Wagon,90 Wagon,Blue,58125.0,28,Original & Highly Original
149900.0,200TDI 5-Speed,110 Wagon,White,2603.0,32,Restored-Modified
198888.0,standard,110 Wagon,Gray,510.0,32,Restored-Modified
49990.0,Land Rover Defender 90,90 Hard Top,Gray,0.0,33,Restored-Modified
60000.0,V8 5-Speed,110 Soft Top,Blue,433859.0,28,Restored-Modified
60000.0,V8 5-Speed,110 Soft Top,Blue,433859.0,28,Restored-Modified
104500.0,V8 5-Speed,90 Soft Top,White,4985.0,28,Restomod & Custom
90200.0,standard,110 Wagon,Black,0.0,38,Restored-Modified
31500.0,300TDI 5-Speed,90 Hard Top,Gray,139808.475,26,Restored-Modified
45750.0,200TDI 5-Speed,90 Soft Top,White,101283.473,32,Restored-Original
26000.0,300TDI 5-Speed,90 Hard Top,Green,271539.127,26,Restored-Original
72000.0,NAS,110 Wagon,White,118000.0,30,Original & Highly Original
38750.0,V8,110 Wagon,Red,21747.985,29,Restored-Modified
41440.0,Land Rover Defender 90,90 Hard Top,White,160839.0,33,Restored-Original
54000.0,300TDI 5-Speed,90 Hard Top,Green,128002.426,27,Original & Highly Original
73000.0,NAS,90 Wagon,White,98000.0,28,Original & Highly Original
41000.0,standard,90 Hard Top,White,231586.0,29,Restored-Original
49000.0,300TDI 5-Speed,90 Hard Top,Green,169000.0,28,Restored-Modified
47100.0,300TDI 5-Speed,110 Wagon,Beige,14900092584.0,28,Restored-Modified
31000.0,300TDI 5-Speed,110 Hard Top,Green,104390.328,27,Restored-Original
77999.0,3-Door Soft Top 300 TDI,90 Soft Top,Yellow,1.0,26,Restored-Modified
43000.0,2.0L Mpi 5-Speed,90 Hard Top,Black,114332.264,26,Restored-Modified
30100.0,standard,90 Hard Top,Gray,174227.0,36,Restored-Modified
58000.0,200TDI 5-Speed,90 Hard Top,Green,4000.0,31,Restored-Modified
38000.0,standard,110 Hard Top,Blue,70214.923,29,Original & Highly Original
65000.0,300TDI 5-Speed,90 Wagon,Blue,61516.0,26,Restored-Modified
81000.0,200TDI 5-Speed,110 Wagon,Black,52817.0,31,Restored-Modified
55000.0,NAS 5-Speed,90 Soft Top,Red,110000.0,28,Modified
62500.0,Land Rover Defender 110 V8 5-Speed,110 Soft Top,Green,186280.0,33,Restored-Modified
92000.0,300TDI 5-Speed,110 Wagon,Brown,36.0,27,Restored-Modified
92427.0,NAS 5-Speed,90 Soft Top,Red,65000.0,29,Original & Highly Original
33000.0,300TDI 5-Speed,90 Hard Top,Green,130487.91,27,Original & Highly Original
103000.0,NAS 5-Speed,90 Soft Top,Yellow,22000.0,29,Original & Highly Original
36500.0,NAS 5-Speed,110 Wagon,Beige,11900073943.0,36,Restored-Original
68500.0,5-Door 300 TDI,110 Wagon,Gray,115033.791859,28,Restored-Original
39999.0,3-Door Hard Top 300 TDI,90 Hard Top,White,146945.542306,28,Restored-Original
88995.0,standard,110 Hard Top,Gray,325945.0,27,Restored-Modified
58500.0,standard,90 Hard Top,Green,140429.846,26,Restored-Original
47500.0,standard,90 Hard Top,Gray,105000.0,32,Restored-Original
45000.0,V8 5-Speed,130,Gray,53437.906,30,Restored-Original
91000.0,300TDI 5-Speed,110 Soft Top,Burgundy,1600.0,28,Restored-Modified
55000.0,300TDI 5-Speed,110 Wagon,Green,968.0,26,Restored-Modified
55000.0,300TDI 5-Speed,110 Wagon,Green,968.0,26,Restored-Modified
91000.0,300TDI 5-Speed,110 Soft Top,Red,68000.0,28,Restored-Modified
57120.0,2-Door Soft Top,110 Soft Top,Blue,0.0,32,Restored-Modified
